SOURCE CODE TOKEN ANALYSIS RESULTS
========================================

Line 1: PREPROCESSOR -> #define_CRT_SECURE_NO_WARNINGS
Line 2: PREPROCESSOR -> #include<stdio.h>
Line 3: PREPROCESSOR -> #include<ctype.h>
Line 4: PREPROCESSOR -> #include<string.h>
Line 6: COMMENT -> // 1. Comparing three numbers
Line 7: KEYWORD -> int
Line 7: IDENTIFIER -> compareThreeNumbers
Line 7: DELIMITER -> (
Line 7: KEYWORD -> int
Line 7: IDENTIFIER -> a
Line 7: DELIMITER -> ,
Line 7: KEYWORD -> int
Line 7: IDENTIFIER -> b
Line 7: DELIMITER -> ,
Line 7: KEYWORD -> int
Line 7: IDENTIFIER -> c
Line 7: DELIMITER -> )
Line 7: DELIMITER -> {
Line 8: KEYWORD -> if
Line 8: DELIMITER -> (
Line 8: IDENTIFIER -> a
Line 8: OPERATOR -> ==
Line 8: IDENTIFIER -> b
Line 8: OPERATOR -> &&
Line 8: IDENTIFIER -> b
Line 8: OPERATOR -> ==
Line 8: IDENTIFIER -> c
Line 8: DELIMITER -> )
Line 8: DELIMITER -> {
Line 9: KEYWORD -> return
Line 9: NUMBER -> 0
Line 9: DELIMITER -> ;
Line 9: COMMENT -> // all equal
Line 10: DELIMITER -> }
Line 11: KEYWORD -> else
Line 11: KEYWORD -> if
Line 11: DELIMITER -> (
Line 11: IDENTIFIER -> a
Line 11: OPERATOR -> >=
Line 11: IDENTIFIER -> b
Line 11: OPERATOR -> &&
Line 11: IDENTIFIER -> a
Line 11: OPERATOR -> >=
Line 11: IDENTIFIER -> c
Line 11: DELIMITER -> )
Line 11: DELIMITER -> {
Line 12: KEYWORD -> return
Line 12: NUMBER -> 1
Line 12: DELIMITER -> ;
Line 12: COMMENT -> // a is biggest
Line 13: DELIMITER -> }
Line 14: KEYWORD -> else
Line 14: KEYWORD -> if
Line 14: DELIMITER -> (
Line 14: IDENTIFIER -> b
Line 14: OPERATOR -> >=
Line 14: IDENTIFIER -> a
Line 14: OPERATOR -> &&
Line 14: IDENTIFIER -> b
Line 14: OPERATOR -> >=
Line 14: IDENTIFIER -> c
Line 14: DELIMITER -> )
Line 14: DELIMITER -> {
Line 15: KEYWORD -> return
Line 15: NUMBER -> 2
Line 15: DELIMITER -> ;
Line 15: COMMENT -> // b is biggest
Line 16: DELIMITER -> }
Line 17: KEYWORD -> else
Line 17: DELIMITER -> {
Line 18: KEYWORD -> return
Line 18: NUMBER -> 3
Line 18: DELIMITER -> ;
Line 18: COMMENT -> // c is biggest
Line 19: DELIMITER -> }
Line 20: DELIMITER -> }
Line 22: COMMENT -> // 2. Identifying odd/even numbers
Line 23: KEYWORD -> int
Line 23: IDENTIFIER -> isEven
Line 23: DELIMITER -> (
Line 23: KEYWORD -> int
Line 23: IDENTIFIER -> number
Line 23: DELIMITER -> )
Line 23: DELIMITER -> {
Line 24: KEYWORD -> return
Line 24: IDENTIFIER -> number
Line 24: OPERATOR -> %
Line 24: NUMBER -> 2
Line 24: OPERATOR -> ==
Line 24: NUMBER -> 0
Line 24: DELIMITER -> ;
Line 25: DELIMITER -> }
Line 27: COMMENT -> // 3. Identifying the biggest in three numbers
